n,tot_ret,ann_ret,ann_vol,sharpe,sortino,mdd,calmar,strategy,model,target_vol,threshold,fee_label,fee_rate,avg_turnover,avg_weight,pct_invested
1312,0.8904846564419915,0.1938313781951042,0.3638671498040996,0.6688951680856777,0.9938700552087568,-0.5053227381009265,0.3835793713212859,vol-managed,HAR-WE,0.35,0.0,taker_25bps,0.0025,0.07048681695981689,0.9134382061590803,1.0
1312,1.0879645416232648,0.22729046924661978,0.363907300624521,0.7448612808292722,1.1033473224971182,-0.48931531319819654,0.46450716565773215,vol-managed,HAR-WE,0.35,0.05,maker_15bps,0.0015,0.06629501802223593,0.9087631389014351,1.0
1312,0.9990538303332179,0.21252231406629596,0.36393418073332734,0.7115616805638812,1.0535155473812587,-0.4968060409544361,0.42777723406504864,vol-managed,HAR-WE,0.35,0.05,blend_20bps,0.002,0.06629501802223593,0.9087631389014351,1.0
1312,0.9139209173702025,0.19793043125756693,0.36396323755820786,0.6782629425003599,1.003724235062087,-0.5041876312319872,0.3925729609310765,vol-managed,HAR-WE,0.35,0.05,taker_25bps,0.0025,0.06629501802223593,0.9087631389014351,1.0
1312,1.0999675656124768,0.2292492009377587,0.3648629238840539,0.7481976528435262,1.1075731163954612,-0.499350320090637,0.45909493138233637,vol-managed,HAR-WE,0.35,0.1,maker_15bps,0.0015,0.054858476938173265,0.9051592874959077,1.0
1312,1.0256768863896228,0.21699332416538875,0.36489229915147825,0.7207000855594604,1.066386893480435,-0.5052054913803693,0.4295149753271673,vol-managed,HAR-WE,0.35,0.1,blend_20bps,0.002,0.054858476938173265,0.9051592874959077,1.0
1312,0.9540065367429638,0.20485829342644513,0.36492397258205256,0.6932025796698323,1.0253079831551615,-0.5109928437107402,0.40090247045105415,vol-managed,HAR-WE,0.35,0.1,taker_25bps,0.0025,0.054858476938173265,0.9051592874959077,1.0
1312,1.288956670417949,0.25907502979440933,0.4217262414593062,0.7572514815488761,1.09156394631214,-0.553883659538275,0.4677426844662249,vol-managed,HAR-WE,0.45,0.0,maker_15bps,0.0015,0.02506173082293493,0.9777310418166274,1.0
1312,1.2515297341729452,0.2533135133386537,0.4217545914336319,0.7463559654630273,1.075375607756852,-0.555587745713498,0.45593790592581,vol-managed,HAR-WE,0.45,0.0,blend_20bps,0.002,0.02506173082293493,0.9777310418166274,1.0
1312,1.2147113062918442,0.24757781885587682,0.4217838239135674,0.7354603752331078,1.0591982439879497,-0.5572854612382159,0.4442567338932386,vol-managed,HAR-WE,0.45,0.0,taker_25bps,0.0025,0.02506173082293493,0.9777310418166274,1.0
1312,1.2803650465469265,0.2577584793374177,0.42166364405938733,0.7548746110620617,1.0844244467586552,-0.5531697382613646,0.46596634180959223,vol-managed,HAR-WE,0.45,0.05,maker_15bps,0.0015,0.022726634126952017,0.9746746380908583,1.0
1312,1.2465175520236542,0.2525366991822,0.42169183829514856,0.7449884964581427,1.0697844705223376,-0.554777993627365,0.4552031661007531,vol-managed,HAR-WE,0.45,0.05,blend_20bps,0.002,0.022726634126952017,0.9746746380908583,1.0
1312,1.2131690502375596,0.24733606399695662,0.42172092311901227,0.7351021513450448,1.0551526334513606,-0.556380601521253,0.4445447294903733,vol-managed,HAR-WE,0.45,0.05,taker_25bps,0.0025,0.022726634126952017,0.9746746380908583,1.0
1312,1.2245224792764668,0.24911292124725137,0.41902006702438466,0.7405513015503331,1.059763297288363,-0.557769459301355,0.4466234518456471,vol-managed,HAR-WE,0.45,0.1,maker_15bps,0.0015,0.01762291791891191,0.9644110400436398,1.0
1312,1.1988459462224075,0.24508503017135896,0.41905050886153955,0.732822576268202,1.0483435872043607,-0.5590964807329974,0.4383591001146043,vol-managed,HAR-WE,0.45,0.1,blend_20bps,0.002,0.01762291791891191,0.9644110400436398,1.0
1312,1.1734627500355765,0.24106964542036757,0.4190817957862743,0.7250935116379627,1.0369277322780035,-0.5604196496116989,0.4301591594573796,vol-managed,HAR-WE,0.45,0.1,taker_25bps,0.0025,0.01762291791891191,0.9644110400436398,1.0
